stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,route_type,station_type
99972154,211749,KING HISTORIC DISTRICT,380 AUBURN AVE NE,33.755506,-84.374961,0.0,,,,,1.0,0,Streetcar
99972155,211750,DOBBS PLAZA,258 AUBURN AVE NE,33.755565,-84.378785,0.0,,,,,1.0,0,Streetcar
99972156,211751,AUBURN AVE @ PIEDMONT AVE,180 AUBURN AVE NE,33.755522,-84.382019,0.0,,,,,1.0,0,Streetcar
99972157,211752,WOODRUFF PARK,2 AUBURN AVE NE,33.756022,-84.3882,0.0,,,,,1.0,0,Streetcar
99972158,211753,PEACHTREE CENTER STATION,133 PEACHTREE ST NE,33.758064,-84.387532,0.0,,,,,1.0,0,Streetcar
99972159,211754,CARNEGIE WAY @ TED TURNER DR,160 SPRING ST,33.759567,-84.389572,0.0,,,,,1.0,0,Streetcar
99972160,211755,CENTENNIAL OLYMPIC PARK,174 CENTENNIAL OLYMPIC PARK DR NW,33.759425,-84.391975,0.0,,,,,1.0,0,Streetcar
99972161,211756,LUCKIE ST @ CONE ST,119 LUCKIE ST NW,33.758058,-84.390306,0.0,,,,,1.0,0,Streetcar
99972162,211757,PARK PLACE,25 PARK PL NE,33.755036,-84.388211,0.0,,,,,1.0,0,Streetcar
99972163,211758,HURT PARK,406 EDGEWOOD AVE SE,33.754483,-84.385283,0.0,,,,,1.0,0,Streetcar
99972164,211759,SWEET AUBURN MARKET,209 EDGEWOOD AVE SE,33.754407,-84.379845,0.0,,,,,1.0,0,Streetcar
99972165,211760,EDGEWOOD AVE @ HILLIARD ST,341 EDGEWOOD AVE SE,33.754408,-84.376378,0.0,,,,,1.0,0,Streetcar
